;NUM_ACC;MOIS_ACC;HEU_ACC;COD_PRV;COD_ETA_CHA;COD_ETA_SUR;COD_LUM;COD_INT;TYP_LIE_ACC;NUM_ROU;PKM;LAR_CHA;COD_TYP_CHA;COD_TYP_COL;COD_OBS_HRT;COD_POI_CHO;COD_MAN;CIR_ACC
289;376;1;14;23;1;1;2;1;1;802;119;10;2;7;2;9;11;31
297;391;1;12;39;1;1;2;1;1;13;329;10;1;7;16;1;16;9
298;393;1;10;23;1;1;2;1;1;6;117;8;1;2;15;4;1;33
299;394;1;10;23;1;1;2;1;1;6;117;8;1;8;18;9;11;21
300;395;1;22;23;1;1;1;1;1;6;144;8;1;2;15;4;1;9
301;396;1;17;23;1;1;2;1;1;6;150;8;1;3;15;7;6;341
307;407;1;15;23;1;1;2;1;1;7040;0;7;1;2;15;4;20;32
308;408;1;9;23;1;1;2;1;1;705;21;7;1;3;15;8;1;21
309;409;1;18;23;1;1;1;1;1;705;12;7;1;8;18;9;11;38
310;411;1;22;23;1;1;1;1;1;701;9;7;1;8;18;9;11;42
311;412;1;14;23;1;1;2;1;1;6;122;8;1;8;18;9;10;31
312;413;1;18;23;1;1;1;1;1;13;241;8;1;3;15;8;6;82
313;415;1;5;23;1;1;1;1;1;13;239;8;2;7;10;9;11;31
314;416;1;12;23;1;1;2;1;1;13;240;8;1;1;15;9;18;9
315;417;1;11;23;1;1;2;1;1;802;104;8;2;8;18;9;11;9
316;418;1;8;23;1;1;2;1;1;13;208;8;1;1;15;8;4;342
317;419;1;12;23;1;1;2;1;1;6;178;8;1;8;10;9;11;31
318;420;1;11;23;1;1;2;1;1;6;172;8;1;2;14;4;18;9
319;421;1;20;23;1;1;1;1;1;6;172;8;1;8;14;1;16;31
320;422;1;18;23;1;1;1;1;1;6;174;8;1;3;15;7;6;9
321;423;1;18;23;1;1;1;1;1;7069;9999;7;1;7;5;1;11;9
322;424;1;18;23;1;1;1;1;1;6;173;8;2;8;14;1;16;9
323;425;1;16;23;1;1;2;1;1;4;113;8;1;3;15;8;6;31
324;426;1;21;23;1;1;1;1;1;4;119;8;1;8;18;7;10;439
325;427;1;17;39;1;1;2;1;1;7229;3;6;1;8;15;9;1;36
326;428;1;4;39;1;1;1;1;1;13;280;7;1;8;18;9;11;31
327;429;1;21;23;1;1;1;1;1;802;136;10;2;2;15;4;1;439
328;430;1;8;23;1;1;2;1;1;802;137;10;2;8;18;9;10;38
329;431;1;11;23;1;1;2;1;1;802;141;10;2;8;14;4;17;9
330;432;1;8;23;1;1;2;1;1;802;148;10;2;8;18;9;11;9
331;433;1;1;23;1;1;1;1;1;802;159;10;2;8;18;9;11;21
332;434;1;19;23;1;1;1;1;1;802;128;8;2;8;18;9;11;9
333;435;1;14;23;1;1;2;1;1;802;107;8;2;2;15;6;1;9
335;437;1;1;39;1;1;1;1;1;13;300;6;1;8;18;9;1;9
336;438;1;21;39;1;1;1;1;1;13;292;6;1;8;18;9;1;341
337;439;1;20;68;1;1;1;1;1;201;77;6;1;3;15;1;1;3
338;440;1;13;27;1;1;2;1;1;301;174;7;1;8;13;9;1;82
339;441;1;16;27;1;1;2;1;1;9999;9999;4;1;8;18;7;1;341
340;442;1;12;27;1;1;2;1;1;204;18;8;1;8;2;2;1;31
342;444;1;17;68;1;1;2;1;1;2339;10;6;1;7;15;7;4;21
343;445;1;19;27;1;1;1;1;1;1;624;8;1;8;6;9;1;9
344;446;1;12;27;1;1;2;1;1;1;620;8;1;8;13;7;1;31
345;448;1;21;27;1;1;1;1;1;301;115;8;1;8;13;8;1;46
346;449;1;12;27;1;1;2;1;1;204;38;8;1;1;15;1;4;46
347;453;1;13;27;1;1;2;1;1;2221;9999;8;1;8;14;3;16;33
348;454;1;8;27;1;1;2;1;1;1;625;8;1;2;15;4;1;31
349;455;1;18;27;1;1;1;1;1;1;624;8;1;8;14;2;16;9
350;457;1;12;27;1;1;2;1;1;301;96;8;1;8;13;8;1;9
351;458;1;1;27;1;1;1;1;1;301;79;8;1;8;13;9;1;9
352;461;1;19;27;1;1;1;1;1;2313;2;7;1;2;15;4;1;31
353;462;1;22;27;1;1;1;1;1;202;30;8;1;8;13;8;1;9
354;463;1;18;27;1;1;1;1;1;2314;9999;8;1;8;13;7;1;9
355;464;1;15;27;1;1;2;1;1;1;612;8;1;3;15;8;4;9
356;465;1;19;27;1;1;1;1;1;2307;1;8;1;2;15;4;1;459
357;466;1;12;27;1;1;2;1;1;2307;12;8;1;2;13;2;14;9
358;467;1;10;27;1;1;2;1;1;1;607;8;1;8;13;7;1;9
359;468;1;12;27;1;1;2;1;1;2323;15;7;1;3;15;3;4;48
360;469;1;22;27;1;1;1;1;1;204;39;8;1;2;15;4;1;9
361;470;1;19;27;1;1;1;1;1;204;36;8;1;1;1;1;21;9
362;471;1;12;27;1;1;2;1;1;2307;1;8;1;2;15;4;1;9
363;472;1;0;27;1;1;1;1;1;2307;5;8;1;1;15;1;1;31
364;473;1;13;27;1;1;2;1;1;2314;9999;8;1;8;14;1;16;9
365;474;1;13;27;1;1;2;1;1;2306;35;8;1;3;15;1;12;31
366;475;1;16;27;1;1;2;1;1;2306;31;8;1;8;14;4;16;31
367;476;1;19;27;3;1;1;1;1;2323;29;5;1;1;15;1;4;9
368;477;1;20;27;1;1;1;1;1;1;565;8;1;8;14;3;16;9
369;478;1;12;27;1;1;2;1;1;204;35;8;1;5;15;4;1;9
370;480;1;12;27;1;1;2;1;1;202;13;8;1;8;12;5;1;31
371;481;1;11;27;1;1;2;1;1;204;7;8;1;3;15;8;1;9
372;482;1;14;27;1;1;2;1;1;204;3;8;1;2;15;4;1;31
373;483;1;15;27;1;1;2;1;1;1;565;8;1;8;14;2;16;9
374;484;1;18;27;1;1;1;1;1;1;565;8;1;8;14;2;16;31
375;485;1;23;27;1;1;1;1;1;301;121;8;1;3;15;8;4;38
376;486;1;21;27;1;1;1;1;1;204;8;8;1;3;15;8;4;99
377;487;1;13;27;1;1;2;1;1;202;17;8;1;3;15;7;6;36
378;488;1;8;27;1;1;2;1;1;202;9;8;1;2;15;4;1;48
379;489;1;8;68;1;1;2;1;1;204;81;10;1;7;15;8;14;31
380;490;1;14;68;1;1;2;1;1;204;80;7;1;8;14;8;16;31
381;491;1;9;27;1;1;2;1;1;2300;16;7;1;3;15;1;16;31
383;493;1;9;27;1;1;2;1;1;2307;21;7;1;3;15;8;1;32
384;494;1;17;27;1;1;2;1;1;2313;18;7;1;3;15;8;9;32
385;495;1;10;27;1;1;2;1;1;2300;16;7;1;8;14;1;16;33
386;497;1;12;27;1;1;2;1;1;2307;9;7;1;2;15;4;1;9
387;498;1;15;27;1;1;2;1;1;2307;22;7;1;3;15;6;1;9
388;499;1;14;68;1;1;2;1;1;201;28;6;1;7;15;4;1;36
389;500;1;16;27;1;1;2;1;1;9999;9999;6;1;3;15;8;1;9
390;501;1;11;11;1;1;2;1;1;206;57;6;1;7;15;8;1;31
391;502;1;12;68;1;1;2;1;1;201;66;6;1;8;18;8;1;32
392;503;1;12;68;1;1;2;1;1;201;65;6;1;8;14;7;1;9
393;505;1;9;68;1;1;2;1;1;201;46;6;1;8;18;8;1;9
394;506;1;12;68;1;1;2;1;1;204;52;7;1;7;15;7;4;9
395;507;1;12;68;1;1;2;1;1;201;9999;11;1;7;14;8;16;9
397;509;1;9;68;1;1;2;1;1;2339;9999;6;1;8;18;8;1;33
399;511;1;16;68;1;1;2;1;1;2339;14;6;1;8;18;7;1;36
400;512;1;16;11;1;1;2;1;1;206;27;6;1;1;15;1;4;40
401;513;1;4;57;1;1;1;1;1;803;159;7;2;2;15;1;1;9
402;516;1;13;43;1;1;2;1;1;2017;46;8;1;3;15;3;18;9
403;517;1;7;43;1;1;2;1;1;9999;266;8;1;8;18;1;18;31
404;520;1;20;22;1;1;1;1;1;2007;9;7;1;2;15;4;18;9
405;521;1;17;22;1;1;2;1;1;803;229;7;2;8;14;1;18;9
406;522;1;20;57;1;1;1;1;1;8;297;8;1;8;14;7;1;9
407;523;1;22;11;1;1;1;1;1;9;222;7;1;8;18;1;11;71
