NUM_ACC,MOIS_ACC,HEU_ACC,COD_PRV,COD_ETA_CHA,COD_ETA_SUR,COD_LUM,COD_INT,TYP_LIE_ACC,NUM_ROU,PKM,LAR_CHA,COD_TYP_CHA,COD_TYP_COL,COD_OBS_HRT,COD_POI_CHO,COD_MAN,CIR_ACC
4259,2.0,19,48,1,1,1,1,1,2026.0,9999.99,8.0,1.0,1.0,15,2.0,4.0,9
4261,2.0,8,11,1,1,2,1,1,8.0,327.2,7.0,1.0,8.0,18,8.0,10.0,9
4262,2.0,15,11,1,1,2,1,1,8.0,342.0,7.0,1.0,3.0,15,8.0,6.0,46
4263,2.0,19,11,1,1,1,1,1,2115.0,7.2,7.0,1.0,8.0,14,7.0,16.0,9
4264,2.0,11,11,1,1,2,1,1,206.0,106.5,7.0,1.0,3.0,15,7.0,6.0,9
4265,2.0,12,11,1,1,2,1,1,2115.0,10.6,7.0,1.0,2.0,15,4.0,1.0,46
4266,2.0,14,11,1,1,2,1,1,2125.0,17.7,7.0,1.0,2.0,15,4.0,14.0,32
4267,2.0,12,11,1,1,2,1,1,2125.0,12.8,7.0,1.0,2.0,15,4.0,1.0,9
4268,2.0,13,11,1,1,2,1,1,2125.0,17.5,7.0,1.0,2.0,15,4.0,21.0,9
4269,2.0,12,11,1,1,2,1,1,2125.0,12.2,7.0,1.0,2.0,15,4.0,1.0,9
4270,2.0,16,11,1,1,2,1,1,2125.0,9.9,7.0,1.0,8.0,18,7.0,11.0,21
4271,2.0,18,11,1,1,1,1,1,2125.0,26.4,7.0,1.0,2.0,15,4.0,1.0,9
4275,2.0,13,11,1,1,2,1,1,2125.0,0.26,7.0,1.0,2.0,15,4.0,1.0,9
4276,2.0,12,11,1,1,2,1,1,2125.0,14.6,7.0,1.0,2.0,15,4.0,1.0,82
4277,2.0,15,11,1,1,2,1,1,8.0,311.2,7.0,1.0,3.0,15,7.0,6.0,9
