Victimes,COD_ETA_CHA,COD_TYP_CHA,COD_TYP_COL,COD_MAN,AGE_CON,TMJA_en_veh_j,POS_ACO_DRO,POS_ACO_GAU,SIG_HOR,SIG_VER,COD_USA_VEH,COD_FAU_NON_CON,age_veh,route_class,Type_veh,Predicted_CLASSE_ISR
23,1,1,8,11,21,8206,1,1,2,2,4,9,8,1,3,3
52,1,1,7,4,53,5779,1,1,1,1,0,9,5,1,3,3
136,1,1,2,1,38,6957,1,1,1,1,2,9,10,1,4,1
16,1,1,1,2,58,3651,1,1,1,2,0,9,10,2,3,3
88,1,1,2,1,49,7358,1,1,1,1,1,9,1,1,3,1
5,1,1,8,10,39,4443,1,1,1,1,0,9,8,3,3,3
145,1,1,2,1,31,17543,1,1,1,1,0,9,10,3,3,1
22,1,1,3,4,32,4392,1,1,1,1,0,9,23,1,3,3
65,1,1,2,1,17,4211,1,1,1,1,9,9,3,1,0,1
112,1,1,1,7,40,15315,1,1,1,1,0,9,8,1,1,1
390,1,1,7,16,52,22445,1,1,1,1,0,9,12,1,5,1
43,1,1,7,1,47,16519,1,1,1,1,0,9,31,1,3,3
37,1,1,8,1,58,13940,1,1,1,2,4,9,1,1,3,1
36,1,1,7,16,61,7373,1,1,1,1,0,9,0,3,1,1
21,1,1,2,1,47,4383,1,1,1,1,0,9,19,1,3,3
189,1,1,3,18,39,2231,1,1,1,1,0,9,10,1,3,1
11,1,1,8,11,24,7169,1,1,1,1,4,9,1,1,1,3
297,1,2,7,6,57,4893,1,1,1,1,4,9,5,2,3,1
59,1,1,1,18,47,3377,1,1,1,1,0,9,32,3,3,1
93,1,1,2,1,33,11361,1,1,1,1,0,9,2,1,1,1
3,1,1,3,4,28,3599,1,1,1,1,4,9,1,1,3,4
9,1,1,3,1,34,2322,1,1,1,2,0,9,38,3,3,4
73,1,1,7,21,45,6729,1,1,1,1,0,9,33,1,1,1
95,1,1,2,16,23,4039,1,1,1,1,0,9,14,2,3,1
417,1,1,8,11,49,13321,1,1,2,2,0,9,1,3,1,1
0,1,1,7,18,32,152,1,1,2,2,0,9,0,3,3,4
